number,authors,title,journal,year,volume,pages,note,link
33,"Jones, K. A.; Li, D. J.; Hui, E. E.; Sellmyer, M. A.; Prescher J. A.",Visualizing cell proximity with genetically encoded bioluminescent reporters,ACS Chem. Biol.,2015,10,933-938,,http://pubs.acs.org/doi/abs/10.1021/cb5007773
32,"McCutcheon, D. C.; Porterfield, W. B.; Prescher, J. A.",Rapid and scalable assembly of firefly luciferase substrates,Org. Biomol. Chem.,2015,13,2117-2121,,http://pubs.rsc.org/en/content/articlelanding/2014/ob/c4ob02529f
31,"Porterfield, W. B.; Prescher, J. A.",Tools for visualizing cell-cell interactomes,Curr. Opin. Chem. Biol.,2015,24,121-130,"(invited article for ""Omics"" issue)",http://www.sciencedirect.com/science/article/pii/S1367593114001707
30,"Smith, B. R.; Ghosn, E. E.; Rallapalli, H.; Prescher, J. A.; Larson, T.; Herzenberg L. A.; Gambhir, S. S.",Selective uptake of single-walled carbon nanotubes by circulating monocytes for enhanced tumour delivery,Nat. Nanotechnol.,2014,9,481-487,,http://www.nature.com/nnano/journal/v9/n6/abs/nnano.2014.62.html
29,"Shih, H.-W.; Kamber, D. N.; Prescher, J. A.",Building better bioorthogonal reactions,Curr. Opin. Chem. Biol.,2014,21,103-111,"(invited article for ""In Vivo Chemistry"" issue)",http://www.sciencedirect.com/science/article/pii/S1367593114000891
28,"Patterson, D. M.; Jones, K. A.; Prescher, J. A. ",Improved cyclopropene reporters for probing protein glycosylation,Mol. BioSyst.,2014,10,1693-1697,"(invited article for ""Emerging Investigators"" issue)",http://pubs.rsc.org/en/content/articlelanding/2014/mb/c4mb00092g
27,"Patterson, D. M.*; Nazarova, L. A.*; Prescher, J. A.",Finding the right (bioorthogonal) chemistry,ACS Chem. Biol.,2014,9,592-605,,http://pubs.acs.org/doi/abs/10.1021/cb400828a
26,"Evans, M. S.; Adams, S. T.; Reddy, G. R.; Paley, M. A.; Aronin, N.; Prescher, J. A.*; Miller S. C.*",A synthetic luciferin improves bioluminescence imaging in live mice,Nat. Methods,2014,11,393-395,,http://www.nature.com/nmeth/journal/v11/n4/full/nmeth.2839.html
25,"Paley, M. A.; Prescher, J. A.",Bioluminescence: A versatile technique for imaging cellular and molecular features.,MedChemComm,2014,5,255-267,,http://pubs.rsc.org/en/content/articlelanding/2014/md/c3md00288h
24,"Kamber, D. N.; Nazarova, L. A.; Liang, Y.; Lopez, S. A.; Patterson, D. M.; Shih, H.-W.; Houk, K. N.; Prescher, J. A.",Isomeric cyclopropenes exhibit unique bioorthogonal reactivities,J. Am. Chem. Soc.,2013,135,13680-13683,,http://pubs.acs.org/doi/abs/10.1021/ja407737d
23,"Sellmyer, M. A.; Bronsart, L.; Imoto, H.; Contag, C. H.; Wandless, T. J.; Prescher, J. A.",Visualizing cellular interactions with a generalized proximity reporter,Proc. Natl. Acad. Sci. U.S.A.,2013,110,8567-8572,,http://www.pnas.org/content/110/21/8567.short
22,"Patterson, D. M.; Nazarova, L. A.; Xie, B.; Kamber, D. N.; Prescher, J. A.",Functionalized cyclopropenes as bioorthogonal chemical reporters,J. Am. Chem. Soc.,2012,134,18638-18643,,http://pubs.acs.org/doi/abs/10.1021/ja3060436
21,"McCutcheon, D. C.; Paley, M. A.; Steinhardt, R. C.; Prescher, J. A.",Expedient synthesis of electronically modified luciferins for bioluminescence imaging,J. Am. Chem. Soc.,2012,134,7604-7607,,http://pubs.acs.org/doi/abs/10.1021/ja301493d
20,"Prescher, J. A.; Contag, C. H.",Imaging mouse models of human cancer,"in ""Genetically Engineered Mice for Cancer Research""",2011,,,"Eds (Springer): Green, J. and Ried, T.",http://link.springer.com/chapter/10.1007/978-0-387-69805-2_11
